,country,time,"luminosity,pixel"
547,japan,201410,"(2954687.0696317144, 227156.03006408035)"
548,korea,201410,"(81733.63987641409, 38956.11739701855)"
549,mexico,201410,"(0, 0)"
550,russia,201410,"(57933224.19136469, 107673.16665269603)"
551,saudiarab,201410,"(0, 0)"
552,uk,201410,"(0, 0)"
553,usa,201410,"(0, 0)"
554,indonesia,201410,"(204284.97989597544, 2996.2804914845537)"
555,iran,201410,"(258500.59986940958, 10857.459917100601)"
556,spain,201410,"(0, 0)"
557,turkey,201410,"(0, 0)"
558,brazil,201411,"(0, 0)"
559,canada,201411,"(0, 0)"
560,china,201411,"(17541474.01313107, 143251.9449974119)"
561,france,201411,"(0, 0)"
562,germany,201411,"(0, 0)"
563,india,201411,"(9186384.426683383, 76117.64384156006)"
564,italy,201411,"(0, 0)"
565,japan,201411,"(2803705.789693147, 320737.6980681276)"
566,korea,201411,"(13236.87999360077, 15374.694207059438)"
567,mexico,201411,"(0, 0)"
568,russia,201411,"(103791721.91731268, 216044.0018131196)"
569,saudiarab,201411,"(0, 0)"
570,uk,201411,"(0, 0)"
571,usa,201411,"(0, 0)"
572,indonesia,201411,"(120640.74005370401, 10719.537409407123)"
573,iran,201411,"(155998.9399708286, 6461.622127637425)"
574,spain,201411,"(0, 0)"
575,turkey,201411,"(0, 0)"
576,brazil,201412,"(0, 0)"
577,canada,201412,"(0, 0)"
578,china,201412,"(34336548.832436346, 466419.5383546564)"
579,france,201412,"(0, 0)"
580,germany,201412,"(0, 0)"
581,india,201412,"(11501782.895476634, 76002.65149489435)"
582,italy,201412,"(0, 0)"
583,japan,201412,"(4395715.499494575, 485050.8469028257)"
584,korea,201412,"(213242.46006592736, 155453.31252941117)"
585,mexico,201412,"(0, 0)"
586,russia,201412,"(154966172.41757706, 374904.49307438417)"
587,saudiarab,201412,"(0, 0)"
588,uk,201412,"(0, 0)"
589,usa,201412,"(0, 0)"
590,indonesia,201412,"(137849.12979196757, 3462.082437876412)"
591,iran,201412,"(316174.1401460208, 8500.538030778594)"
592,spain,201412,"(0, 0)"
593,turkey,201412,"(0, 0)"
594,brazil,201501,"(0, 0)"
595,canada,201501,"(0, 0)"
596,china,201501,"(24955440.670163583, 381507.58607278136)"
597,france,201501,"(0, 0)"
598,germany,201501,"(0, 0)"
599,india,201501,"(11229880.58632161, 107210.23346416924)"
600,italy,201501,"(0, 0)"
601,japan,201501,"(4042724.359688746, 219455.798753016)"
602,korea,201501,"(129432.87007712759, 141887.4306881988)"
603,mexico,201501,"(0, 0)"
