year,country,pixels,luminosity,lum/pix
1998,Indonesia,10441980,3506335,0.33579215819222025
1999,Indonesia,10441980,3594975,0.34428096970114863
2000,Indonesia,10441980,3898591,0.3733574475338968
2001,Indonesia,10441980,4111172,0.39371575122725766
2002,Indonesia,10441980,4230722,0.4051647292946357
2003,Indonesia,10441980,3406663,0.3262468420740128
2004,Indonesia,10441980,3785760,0.36255192980641604
2005,Indonesia,10441980,3342750,0.3201260680445663
2006,Indonesia,10441980,3894077,0.37292515404166643
2007,Indonesia,10441980,3725674,0.3567976571493146
2008,Indonesia,10441980,2067898,0.1980369623385603
2009,Indonesia,10441980,2057209,0.19701330590558497
2010,Indonesia,10441980,3004668,0.2877488752133216
2011,Indonesia,10441980,2798443,0.2679992683379972
2012,Indonesia,10441980,3160622,0.30268416526367603
2013,Indonesia,10441980,2928289,0.28043426629815416
1992,Iran,4053948,3640828,0.8980944008161921
1993,Iran,4053948,3838469,0.9468471228540672
1994,Iran,4053948,7542970,1.8606479412168089
1995,Iran,4053948,4305928,1.0621566926857473
1996,Iran,4053948,4379329,1.0802627463401109
1997,Iran,4053948,8262121,2.0380431618757813
1998,Iran,4053948,9345454,2.305272292589841
1999,Iran,4053948,8996394,2.2191685734498816
2000,Iran,4053948,10111489,2.494232535789803
2001,Iran,4053948,9969830,2.459289068335361
2002,Iran,4053948,10655234,2.628359811225995
2003,Iran,4053948,9951670,2.4548094844827806
2004,Iran,4053948,10944437,2.699698417443934
2005,Iran,4053948,11132214,2.7460179558297244
2006,Iran,4053948,12123569,2.9905585863459523
2007,Iran,4053948,13032959,3.214880654611258
2008,Iran,4053948,7139600,1.7611474049494469
2009,Iran,4053948,6257035,1.5434423431183626
2010,Iran,4053948,8954731,2.2088914312665087
2011,Iran,4053948,7150225,1.7637683068455738
2012,Iran,4053948,7856323,1.9379437032739444
2013,Iran,4053948,7479349,1.8449543506724801
1992,Italy,1776749,5726705,3.223136751448854
1993,Italy,1776749,5461699,3.0739845639423464
1994,Italy,1776749,12335391,6.942675076783496
1995,Italy,1776749,6771339,3.811083613948847
1996,Italy,1776749,6591333,3.709771610959117
1997,Italy,1776749,12516097,7.044381057763364
1998,Italy,1776749,13547885,7.625097861318622
1999,Italy,1776749,13867156,7.804791785446341
2000,Italy,1776749,14209393,7.997411564604792
2001,Italy,1776749,14489566,8.155100129506193
2002,Italy,1776749,15081861,8.488458977604603
2003,Italy,1776749,13422844,7.554721572940241
2004,Italy,1776749,13423670,7.555186466968604
2005,Italy,1776749,13558258,7.630936052306769
2006,Italy,1776749,13853347,7.797019725352315
2007,Italy,1776749,14786177,8.32204042326744
2008,Italy,1776749,7935950,4.466556615481421
2009,Italy,1776749,7843808,4.414696729813834
2010,Italy,1776749,10238152,5.762295068127237
2011,Italy,1776749,8889162,5.003048826817969
2012,Italy,1776749,9660616,5.437242964538041
2013,Italy,1776749,9046581,5.091648285717341
1992,Japan,3376191,6605464,1.9564840970193926
1993,Japan,3376191,6860922,2.0321486550968237
1994,Japan,3376191,14178989,4.199699898495079
1995,Japan,3376191,7692163,2.2783554011014187
1996,Japan,3376191,7795393,2.3089312778809017
1997,Japan,3376191,14157113,4.193220407257765
1998,Japan,3376191,15149818,4.48725146178045
1999,Japan,3376191,14975435,4.435600651740378
2000,Japan,3376191,15173836,4.494365395796624
2001,Japan,3376191,15365950,4.55126798217281
2002,Japan,3376191,15031446,4.452190649166472
