Year,country,pixels,luminosity,lum/pix,population,gdppercapitagrowth
2004,Dominican Republic,119900.0,410275.0,3.4218098415346123,8974444,1.151470008
2005,Dominican Republic,119900.0,365450.0,3.0479566305254377,9097257,7.950955381
2006,Dominican Republic,119900.0,382343.0,3.1888490408673893,9218686,7.736305253999999
2007,Dominican Republic,119900.0,386821.0,3.226196830692244,9338861,6.033694071
2008,Dominican Republic,119900.0,223990.0,1.86814011676397,9458075,1.908603408
2009,Dominican Republic,119900.0,187579.0,1.564462051709758,9576737,-0.304633349
2010,Dominican Republic,119900.0,307044.0,2.560834028356964,9695121,7.016750474
2011,Dominican Republic,119900.0,278091.0,2.3193577981651377,9813210,1.8923486969999999
2012,Dominican Republic,4672928.0,283665.6242144711,1.2071234958035777,9930911,1.499963278
2013,Dominican Republic,4672928.0,287801.3757855289,1.221607878720133,10048224,3.650787233
2014,Dominican Republic,4672928.0,314740.40252939716,0.05184039539946033,10165178,5.818809907
2015,Dominican Republic,4672928.0,321268.8327276937,0.053237470252378336,10281680,5.715425768999999
2016,Dominican Republic,4672928.0,284697.0514529639,0.045411160650619065,10397743,5.4686354679999996
2017,Dominican Republic,4672928.0,316661.13151995593,0.052251428693908405,10513131,3.517924003
2018,Dominican Republic,4672928.0,353098.1773285115,0.06004890509597484,10627165,5.834559566
1992,Estonia,148032.0,153903.0,1.0396603437094682,1533091,
1993,Estonia,148032.0,237499.0,1.6043760808473844,1494128,
1994,Estonia,148032.0,420428.0,2.8401156506701253,1462514,0.483692794
1995,Estonia,148032.0,248329.0,1.6775359381755297,1436634,6.409660105
1996,Estonia,148032.0,229199.0,1.5483071227842629,1415594,6.495635877000001
1997,Estonia,148032.0,653805.0,4.41664640077821,1399535,14.34369118
1998,Estonia,148032.0,601136.0,4.060851707738867,1386156,5.337277905
1999,Estonia,148032.0,589498.0,3.98223357111976,1390244,-0.696297505
2000,Estonia,148032.0,558201.0,3.7708130674448768,1396985,9.575212427
2001,Estonia,148032.0,593206.0,4.007282209252054,1388115,6.656808692
2002,Estonia,148032.0,359265.0,2.4269414721141374,1379350,7.481060382000001
2003,Estonia,148032.0,434467.0,2.934953253350627,1370720,8.243927473
2004,Estonia,148032.0,496803.0,3.3560513942931256,1362550,7.407646595
2005,Estonia,148032.0,545365.0,3.684102086035452,1354775,10.11865725
2006,Estonia,148032.0,568131.0,3.8378931582360565,1346810,10.36763268
2007,Estonia,148032.0,580133.0,3.918970222654561,1340680,8.065440131
2008,Estonia,148032.0,326125.0,2.2030709576307825,1337090,-4.834111988
2009,Estonia,148032.0,330448.0,2.232274102896671,1334515,-14.26876512
2010,Estonia,148032.0,756955.0,5.113455198875919,1331475,2.924792674
2011,Estonia,148032.0,399078.0,2.695890077821012,1327439,7.770611792
